,imdb_name_id,name,date_of_birth,height,is_actor,race,gender,sexuality
8653,nm0834754,Woody Strode,1914-07-25,193.0,True,Black,Male,Straight
8654,nm0001012,Claudia Cardinale,1938-04-15,168.0,True,White,Female,Straight
8655,nm0078413,Rafael Bertrand,1917-08-20,,True,,,
8656,nm0554830,Jorge Martínez de Hoyos,1920-09-25,,True,,,
8657,nm0739347,Carlos Romero,1927-02-15,,True,,,
8658,nm0723707,Ron Rich,1938-10-29,,True,,,
8659,nm0922165,Judi West,1942-12-15,,True,,,
8660,nm0652109,Cliff Osmond,1937-02-26,196.0,True,,,
8661,nm0878354,Lurene Tuttle,1907-08-29,,True,,,
8662,nm0689488,Michael J. Pollard,1939-05-30,168.0,True,White,Male,Straight
8664,nm0000432,Gene Hackman,1930-01-30,187.0,True,White,Male,Straight
8671,nm0663820,Estelle Parsons,1927-11-20,163.0,True,White,Female,Straight
8674,nm0701500,Denver Pyle,1920-05-11,185.0,True,White,Male,Straight
8675,nm0262748,Evans Evans,1936-11-26,,True,,,
8676,nm0000698,Gene Wilder,1933-06-11,179.0,True,White,Male,Straight
8678,nm0001684,Katharine Ross,1940-01-29,160.0,True,White,Female,Straight
8680,nm0377750,Buck Henry,1930-12-09,,True,White,Male,
8682,nm0043011,Brian Avery,1940-07-13,,True,,,
8683,nm0111754,Walter Brooke,1914-10-13,175.0,True,,,
8684,nm0134201,J.D. Cannon,1922-04-24,180.0,True,,,
8685,nm0238105,Robert Drivas,1935-11-21,175.0,True,White,Male,Gay
8686,nm0001510,Strother Martin,1919-03-26,165.0,True,White,Male,Straight
8690,nm0940971,Morgan Woodward,1925-09-16,191.0,True,White,Male,Straight
8691,nm0147049,Marc Cavell,1939-06-28,,True,,,
8692,nm0232817,Robert Donner,1931-04-27,,True,White,Male,Straight
8693,nm0643105,Warren Oates,1928-07-05,181.0,True,White,Male,Straight
8695,nm0666247,James Patterson,1932-06-29,,True,White,Male,Straight
8697,nm0769974,William Schallert,1922-07-06,185.0,True,White,Male,Straight
8698,nm0723968,Beah Richards,1920-07-12,,True,Black,Female,Straight
8700,nm0542847,Larry D. Mann,1922-12-18,,True,,,
8701,nm0396455,Katharine Houghton,1945-03-10,165.0,True,White,Female,Straight
8702,nm0370465,Alexandra Hay,1947-07-24,170.0,True,,,
8703,nm0709872,Barbara Randolph,1942-05-05,,True,,,
8704,nm0552121,D'Urville Martin,1939-02-11,,True,,,
8706,nm0086706,Robert Blake,1933-09-18,163.0,True,White,Male,Straight
8707,nm0934113,Scott Wilson,1942-03-29,180.0,True,White,Male,Straight
8709,nm0641663,Gerald S. O'Loughlin,1921-12-23,,True,White,Male,Straight
8710,nm0179786,Jeff Corey,1914-08-10,184.0,True,White,Male,Straight
8714,nm0002095,Will Geer,1902-03-09,189.0,True,White,Male,Bisexual
8715,nm0572897,John McLiam,1918-01-24,165.0,True,,,
8716,nm0396426,Paul Hough,1974-08-04,,True,,,
8717,nm0627969,Anthony Newley,1931-09-24,175.0,True,White,Male,Straight
8718,nm0390305,Geoffrey Holder,1930-08-01,198.0,True,,,
8719,nm0889540,Norma Varden,1898-01-20,178.0,True,White,Female,
8720,nm0001666,Debbie Reynolds,1932-04-01,157.0,True,White,Female,Straight
8721,nm0066098,Shelley Berman,1925-02-03,174.0,True,White,Male,Straight
8722,nm0300010,Martin Gabel,1912-06-19,168.0,True,White,Male,Straight
8723,nm2919747,Pat Collins,,,True,White,Female,Straight
8724,nm0098014,Tom Bosley,1927-10-01,168.0,True,White,Male,Straight
8725,nm0310370,Dick Gautier,1931-10-30,183.0,True,White,Male,Straight
8726,nm0001513,Tim Matheson,1947-12-31,188.0,True,White,Male,Straight
8727,nm0324556,Gary Goetzman,1952-11-06,183.0,True,,,
8728,nm0202405,Claude Dauphin,1903-08-19,,True,White,Male,Straight
8729,nm0336842,Nadia Gray,1923-11-23,,True,,,
8730,nm0221107,Georges Descrières,1930-04-15,,True,,,
8731,nm0180498,Judy Cornwell,1940-02-22,160.0,True,,,
8732,nm0856050,Nigel Terry,1945-08-15,180.0,True,White,Male,
8733,nm0001096,Timothy Dalton,1946-03-21,187.0,True,White,Male,Straight
8734,nm0581457,Jane Merrow,1941-08-26,165.0,True,,,
8735,nm0830740,Nigel Stock,1919-09-21,,True,White,Male,Straight
8736,nm0341558,Kenneth Griffith,1921-10-12,173.0,True,,,
8737,nm0941146,Henry Woolf,"1930 in London, England, UK",152.0,True,,,
8738,nm0364299,Kate Harrington,1902-12-08,,True,,,
8740,nm0595567,Donald Moffat,1930-12-26,187.0,True,White,Male,Straight
8743,nm0435218,Terry Kiser,1939-08-01,179.0,True,White,Male,Straight
8744,nm0693449,Nell Potts,1959-04-08,,True,,,
8745,nm0926013,Leonard Whiting,1950-06-30,173.0,True,White,Male,Straight
8746,nm0001377,Olivia Hussey,1951-04-17,157.0,True,Multiracial,Female,Straight
8747,nm0568491,John McEnery,1943-11-01,,True,White,Male,Straight
8748,nm0382411,Pat Heywood,1931-08-01,165.0,True,,,
8750,nm0732430,Bruce Robinson,1946-05-02,170.0,True,,,
8751,nm0663678,Natasha Parry,1930-12-02,164.0,True,,,
8752,nm0083838,Roberto Bisacco,1939-03-01,,True,,,
8753,nm0390332,Roy Holder,1946-06-15,,True,,,
8754,nm0804275,Keith Skinner,"1949 in England, UK",,True,,,
8755,nm0843213,William Sylvester,1922-01-31,192.0,True,,,
8756,nm0725220,Daniel Richter,1939-06-15,,True,,,
8757,nm0879239,Margaret Tyzack,1931-09-09,168.0,True,White,Female,Straight
8758,nm0064235,Robert Beatty,1909-10-19,179.0,True,White,Male,Straight
8759,nm0838340,Sean Sullivan,,,True,,,
8760,nm0588339,Frank Miller,"1944 in Chicago, Illinois, USA",196.0,True,White,Male,Straight
